"","2021"
"Massachusetts","3.4"
"District of Columbia","4.3"
"Vermont","5"
"Hawaii","5.2"
"Minnesota","5.8"
"Rhode Island","6.1"
"New Hampshire","6.6"
"Iowa","6.9"
"Wisconsin","7.2"
"Connecticut","7.3"
"Michigan","7.3"
"New York","7.4"
"Pennsylvania","7.4"
"Kentucky","7.8"
"Maine","8"
"Maryland","8.2"
"Delaware","8.5"
"Ohio","8.8"
"Oregon","8.8"
"Washington","9.2"
"West Virginia","9.2"
"Virginia","9.4"
"Nebraska","9.5"
"North Dakota","9.7"
"California","9.9"
"Illinois","10"
"Indiana","10"
"New Jersey","10.2"
"Montana","10.6"
"Colorado","10.9"
"Louisiana","11"
"Utah","11.3"
"Idaho","11.8"
"United States","12.1"
"South Dakota","12.8"
"Arkansas","13.2"
"Missouri","13.4"
"Kansas","13.5"
"New Mexico","14.2"
"Alaska","14.3"
"Arizona","14.6"
"Tennessee","14.8"
"South Carolina","14.9"
"North Carolina","15"
"Alabama","15.1"
"Nevada","15.3"
"Wyoming","15.5"
"Mississippi","17.7"
"Florida","17.9"
"Georgia","18.2"
"Oklahoma","20.2"
"Texas","24.3"
